#Institute_Name	Country
Federal State Budgetary Scientific Institution Research and Production Complex Technology Center 	NA
Federalnoe Gosudarstvennoe Byudzhetnoe Nauchnoe Uchrezhdenie Nauchno-Proizvodstvenny Kompleks Tekhnologicheskiy Tsentr - NPK Technological Center	NA
NPKTS	NA
Scientific Manufacturing Complex Technological Center	NA
SMC Technological Center	NA
Federal State Institution Federal Scientific Center Scientific Research Institute for System Analysis of the Russian Academy of Sciences 	NA
Federalnoe Gosudarstvennoe Uchrezhdenie Federalnyy Nauchnyy Tsentr Nauchno-Issledovatelskiy Institut Sistemnykh Issledovaniy Rossiyskoy Akademii Nauk	NA
FGU FNTS NIISI RAN	NA
FSI FSC SRISA RAS	NA
Scientific Research Institute of System Analysis, Russian Academy of Sciences	NA
Federal State Unitary Enterprise All-Russian Research Institute of Physical, Technical and Radio Engineering Measurements 	NA
VNIIFTRI	NA
Federal State Unitary Enterprise Central Scientific Research Institute of Chemistry and Mechanics 	NA
CNIIHM	NA
Federalnoe Gosudarstvennoe Unitarnoe Predpriyatie Tsentralny Nauchno-Issledovatelski Institut Khimii I Mekhaniki	NA
FGUP CNIIXM	NA
FGUP TSNIIKHM	NA
FSUE CNIIHM	NA
FSUE TSNIIKHM	NA
GNTS RF FGUP TSNIIKHM	NA
State Research Center of the Russian Federation FGUP Central Scientific Research Institute of Chemistry and Mechanics	NA
Tsentralny Naucho-Issledovatelsky Institut Khimii I Mekhaniki, FGUP	NA
TSNIIKHM	NA
Guilin University of Electronic Technology	NA
Harbin Engineering University	NA
Harbin Institute of Technology	NA
Hefei National Laboratory for Physical Sciences at the Microscale	NA
Information Engineering University	NA
Institute of High Energy Physics 	NA
Kurchatovskiy Institute ITEF	NA
Institute of Physics Named After P.N. Lebedev of the Russian Academy of Sciences	NA
Lebedev Physical Institute	NA
LPI RAS	NA
FIAN	NA
Institute of Solid-State Physics of the Russian Academy of Sciences 	NA
Institute of Solid-State Physics of the Academy of Sciences SSSR	NA
Federal State Budgetary Institution of Science Institute of Solid-State Physics N.A. Yu. A. Osipyan of the Russian Academy of Sciences	NA
Imam Hussein University 	NA
Imam Hossein University	NA
IHU	Iran
Imam Hussein University of the Revolutionary Guards	NA
Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences 	NA
Federalnoe Gosudarstvennoe Uchrezhdenie Federalny Issledovatelski Tsentr Institut	NA
Prikladnoi Metematiki I.M. Keldysha Rossiiskoi Akademii Nauk	NA
IPM IM. M.V. Keldisha RAN	NA
KIAM RAS	NA
Key Laboratory of Information Systems Engineering 	NA
KLISE	NA
Lomonosov Moscow State University	NA
Luoyang Institute of Science and Technology 	NA
Luoyang Institute of Technology	NA
Mabna Institute	NA
Moscow Aviation Institute 	NA
MAI	Russia
Moscow’s Higher School of Economics	NA
Moscow Institute of Physics and Technology 	NA
MFTI	Russia
Moscow Order of the Red Banner of Labor Research Radio Engineering Institute JSC  	NA
MNIRTI JSC	NA
Moscow State University	NA
Nanjing Institute of Astronomical Optics and Technology 	NA
NIAOT	China
Nanjing University of Aeronautics and Astronautics	NA
Nanjing University of Science and Technology	NA
National Defense University	NA
National University of Defense Technology 	NA
Central South CAD Center	NA
CSCC	China
Hunan Guofang Keji University	NA
Naval Aviation University	NA
Naval Command College	NA
Naval Engineering University	NA
Naval Medical University	NA
Naval NCO School	NA
Naval Service Academy	NA
Navy Submarine Academy	NA
North University of China	NA
Northwestern Polytechnical University 	NA
Northwestern Polytechnic University	NA
Northwest Polytechnic University	NA
Northwest Polytechnical University	NA
Ocean University of China	NA
Rocket Force Command College	NA
Rocket Force Engineering University	NA
Rocket Force NCO School	NA
Rzhanov Institute of Semiconductor Physics, Siberian Branch of Russian Academy of Sciences 	NA
IPP SB RAS	NA
Institute of Semiconductor Physics IM A.V. Rzhanov	NA
Sharif University of Technology 	NA
Arya Mehr University of Technology	NA
SHFT	NA
SUT	NA
Sharif Technical University	NA
Shenyang Ligong University	NA
Siberian Scientific-Research Institute of Aviation N.A. S.A. Chaplygin 	NA
SibNIA	NA
Sichuan University	NA
Skolkovo Institute of Science and Technology 	NA
Autonomous Non-Profit Organization for Higher Education Skolkovo Institute of Science and Technology	NA
Skolkovskiy Institut Nauki I Tekhnologii	NA
Skoltech	NA
Space Engineering University	NA
Sun Yat-Sen University	NA
Tactical Missile Corporation, Concern "MPO—Gidropribor" 	NA
Joint Stock Company Concern Sea Underwater Weapons Gidropribor 	NA
Research Institute "Gidpropridor"	NA
Tactical Missile Corporation, Joint Stock Company GosNIIMash 	NA
PPORosprofprom V "GOSNIIMASH"	NA
State Research Institute of Mechanical Engineering	NA
Pervichnaya Profsoyuznaya Organizatsiya Rossiskogo Profsoyuza Rabotnikov Promyshlennosti V	NA
"GOSNIIMASH"	NA
Joint Stock Company "State Research Institute of Mechanical Engineering" named after V.V.Bakhirev	NA
SKB DNIKhTI	NA
Tianjin University	NA
Center for International Security and Strategy (affiliated with Tsinghua University)	NA
University of Electronic Science and Technology of China	NA
University of Science and Technology of China	NA
Ural Federal University Named After First President of Russia B.N. Yeltsin 	NA
UrFu	NA
Xi'an Jiatong University	NA
Xi'an Technological University	NA
